sample_name,seqcount
1718.11.25.mum01.VAG,25.0
1718.4.8.I01.VAG,41692.0
1718.11.21.I01.DM.1115A,24224.0
1718.11.4.I01.VAG,316.0
1718.11.30.I01.TONG,29131.0
1718.12.16.I01.DM.1030A,24028.0
1718.BLANK99,751.0
1718.11.20.I01.DM.830P,21482.0
1718.2.2.mum01.TONG,76108.0
1718.3.10.I01.VAG.DS,46810.0
1718.11.4.mum01.VAG2,156.0
1718.11.19.I01.DM.1100P,24428.0
1718.11.17.I01.TONG,31065.0
1718.11.5.I01.VAG,183.0
1718.12.4.I01.DM.1245A,28844.0
1718.3.3.I01.RP,36608.0
1718.12.15.I01.DM.1020P,26702.0
1718.3.17.I01.RP,41125.0
1718.11.7.mum01.FH,45162.0
1718.11.22.I01.VAG,34335.0
1718.3.24.I01.RP,41438.0
1718.12.14.I01.DM.420P,19090.0
1718.11.5.mum01.VAG,696.0
1718.12.31.mum01.TONG,33497.0
1718.1.26.I01.DM.1105A,31328.0
1718.1.11.I01.DM.800A,122082.0
1718.3.24.I01.TONG,38051.0
1718.3.17.I01.VAG,45854.0
1718.11.8.I01.DM.210A,75328.0
1718.12.5.I01.DM.700A,30439.0
1718.11.7.mum01.RP,56915.0
1718.11.20.I01.VAG,44712.0
1718.2.16.I01.TONG,87696.0
1718.11.4.I01.DM.800A,52211.0
1718.4.8.mum01.VAG,38310.0
1718.3.3.I01.FH,27240.0
1718.11.7.I01.VAG,199.0
1718.11.4.I01.DM.300P,19939.0
1718.12.3.I01.DM.525P,28617.0
1718.1.30.I01.DM.700P,40981.0
1718.11.22.I01.DM.235P,18712.0
1718.3.9.dad01.FECE.DS,64474.0
1718.11.6.I01.DM.925P,7.0
1718.BLANK42,16687.0
10249.C037.05SS,15466.0
10249.C031.20SS,13002.0
10249.M055.01V,21160.0
10249.C042.16SS,15814.0
10249.M056.02V,15578.0
10249.C002.01SS,14125.0
10249.C010.17SS,20984.0
10249.C007.01SS,17593.0
10249.C031.21SS,15857.0
10249.C055.01SS,12951.0
10249.C024.22SS,17899.0
10249.C042.17SS,18323.0
10249.C012.01SS,14310.0
10249.C008.18SS,19389.0
10249.M052.01SS,24939.0
10249.C024.21SS,15452.0
10249.C008.03SS,13616.0
10249.C037.01SS,9735.0
10249.C027.18SS,17344.0
10249.M031.03V,17537.0
10249.C032.01SS,13988.0
10249.C025.17SS,18942.0
10249.C057.11SS,16041.0
10249.C038.01SS,13159.0
10249.C010.13SS,12245.0
10249.C057.10SS,18899.0
10249.C047.13SS,19235.0
10249.C047.09SS,17063.0
10249.C042.13SS,19112.0
10249.M053.02V,13249.0
10249.M049.03R,24148.0
10249.C043.20SS,22902.0
10249.C035.16SS,11790.0
10249.C057.09SS,19811.0
10249.C047.10SS,12779.0
10249.C052.09SS,20104.0
10249.C001.39SS,21122.0
10249.C011.20SS,13745.0
10249.C055.06SS,9628.0
10249.M051.02R,30348.0
10249.C037.18SS,14773.0
10249.C027.01SS,19955.0
10249.C035.17SS,19452.0
10249.C057.08SS,17811.0
10249.C047.11SS,14314.0
10249.C052.08SS,16132.0
10249.C001.38SS,15559.0
10249.C055.07SS,18251.0
10249.C011.21SS,16897.0
10249.C038.18SS,9912.0
10249.M038.03R,21537.0
10249.C037.17SS,14870.0
10249.C009.22SS,18581.0
10249.C030.18SS,15589.0
10249.M053.01R,16438.0
10249.C025.01SS,16894.0
10249.M050.02R,15679.0
10249.M052.02V,14504.0
10249.C045.11SS,20892.0
10249.C052.07SS,6067.0
10249.C042.04SS,20430.0
10249.C055.08SS,19962.0
10249.C037.16SS,20096.0
10249.C041.20SS,15100.0
10249.C057.06SS,9236.0
10249.C047.05SS,19701.0
10249.C052.06SS,18108.0
10249.C055.09SS,15046.0
10249.C001.42SS,18358.0
10249.C001.35SS,20226.0
10249.C045.13SS,12507.0
10249.C001.41SS,17982.0
10249.C037.14SS,22183.0
10249.C009.21SS,16864.0
10249.C030.01SS,16654.0
10249.C035.01SS,12855.0
10249.C045.12SS,20059.0
10249.C001.40SS,21131.0
10249.C038.14SS,15417.0
10249.C032.09SS,16617.0
10249.C010.01SS,18810.0
10249.M050.01SS,32001.0
10249.C057.02SS,15702.0
10249.M044.03V,14208.0
10249.C052.02SS,18913.0
10249.C042.01SS,12573.0
10249.C005.01SS,11214.0
10249.C007.14SS,6146.0
10249.M057.02V,21480.0
10249.M004.03R,17598.0
10249.C035.05SS,7753.0
10249.C008.15SS,14192.0
10249.C033.20SS,19930.0
10249.C027.22SS,15428.0
10249.M044.03R,24499.0
10249.C044.17SS,18404.0
10249.C032.21SS,17599.0
10249.C043.18SS,17166.0
10249.C011.18SS,17875.0
10249.C001.01SS,12043.0
10249.C044.16SS,17314.0
10249.C043.19SS,14719.0
10249.C007.25SS,21294.0
10249.M035.03R,14942.0
10249.C009.16SS,13284.0
10249.C022.20SS,19339.0
10249.C032.23SS,27186.0
10249.C007.26SS,15476.0
10249.C036.13SS,20259.0
10249.C027.21SS,18342.0
10249.C022.21SS,17740.0
10249.C032.22SS,14793.0
10249.C043.01SS,21538.0
10249.C007.27SS,19136.0
10249.M057.02R,25876.0
10249.C011.01SS,11870.0
10249.C002.20SS,13989.0
10249.C036.15SS,17433.0
10249.M052.02R,30834.0
10249.C007.21SS,16920.0
10249.C031.01SS,14625.0
10249.C024.18SS,14554.0
10249.M053.01V,15686.0
10249.C034.01SS,26332.0
10249.M043.03V,11845.0
10249.C056.07SS,14650.0
10249.C002.22SS,20660.0
10249.C053.07SS,22034.0
10249.C031.18SS,18492.0
10249.M041.03R,18301.0
10249.C049.04SS,23631.0
10249.C024.01SS,14034.0
10249.C056.06SS,15995.0
10249.C002.23SS,20894.0
10249.C053.06SS,20273.0
10249.C036.16SS,12528.0
10249.C033.16SS,28355.0
10249.C056.09SS,16605.0
10249.C005.23SS,18167.0
10249.C053.09SS,20113.0
10249.C049.10SS,16922.0
10249.C033.19SS,21305.0
10249.C034.16SS,21648.0
10249.C056.08SS,18055.0
10249.C005.22SS,19478.0
10249.C041.04SS,17959.0
10249.C053.08SS,13267.0
10249.C010.21SS,14785.0
10249.C049.11SS,20744.0
10249.C023.01SS,19038.0
10249.M038.03V,19476.0
10249.C046.08SS,24170.0
10249.C046.12SS,22319.0
10249.C036.01SS,12638.0
10249.C049.12SS,14001.0
10249.C033.01SS,12077.0
10249.C056.10SS,16690.0
10249.C005.20SS,17966.0
10249.M049.01R,20940.0
10249.M051.02V,15571.0
10249.C046.13SS,16289.0
10249.M049.03V,18506.0
10249.C049.13SS,17114.0
10249.M053.02R,20260.0
10249.C041.01SS,10519.0
10249.C046.14SS,18146.0
10249.C044.01SS,16923.0
10249.C025.21SS,15562.0
10249.C043.14SS,23255.0
10249.C049.14SS,18273.0
10249.M056.02R,21232.0
10249.C025.20SS,10545.0
10249.C007.29SS,16748.0
10249.M055.01R,21325.0
10249.C031.09SS,17932.0
10249.C004.16SS,19396.0
10249.M001.05R,14621.0
10249.C030.20SS,5622.0
10249.C041.19SS,12472.0
10249.C043.16SS,17158.0
10249.C007.30SS,20047.0
10249.C011.16SS,19272.0
10249.C030.21SS,13542.0
10249.C041.18SS,16831.0
10249.C005.24SS,23955.0
10249.C009.01SS,21619.0
10249.C043.17SS,18791.0
10249.M033.01R,9819.0
10249.M030.02R,8189.0
10249.M033.03V,16029.0
10249.M031.01V,14420.0
10249.M029.02R,8009.0
10249.M009.03R,17634.0
10249.M042.03V,10596.0
10249.M010.01V,8781.0
10249.M043.02V,9505.0
10249.M008.02R,20400.0
10249.M012.03V,12095.0
10249.M031.01SS,17846.0
10249.M042.01R,32196.0
10249.M011.02R,8884.0
10249.C044.04SS,28855.0
10249.M009.01V,5777.0
10249.M012.01R,6297.0
10249.M041.02R,11248.0
10249.M002.03R,26372.0
10249.M024.01SS,9437.0
10249.M021.01SS,10221.0
10249.M031.02SS,16179.0
10249.M018.02V,11091.0
10249.C044.07SS,11169.0
10249.M019.01R,9337.0
10249.M020.02V,14609.0
10249.M038.01R,15731.0
10249.M021.03V,9211.0
10249.M023.01V,11808.0
10249.M021.01R,21112.0
10249.C044.06SS,19898.0
10249.M022.02R,30775.0
10249.C041.06SS,27921.0
10249.C034.12SS,7810.0
10249.M004.02V,10647.0
10249.C031.12SS,9350.0
10249.M004.01SS,18347.0
